frame,image,has_ball,reason,wrist_conf
20,frame_00020_pos.jpg,1,positive_ball_detected,0.1565162092447281
21,frame_00021_pos.jpg,1,positive_ball_detected,0.04983685910701752
22,frame_00022_pos.jpg,1,positive_ball_detected,0.06108344346284866
43,frame_00043_hard.jpg,0,hard_wrist_visible_ball_missing,0.775367796421051
44,frame_00044_hard.jpg,0,hard_wrist_visible_ball_missing,0.553317666053772
45,frame_00045_hard.jpg,0,hard_wrist_visible_ball_missing,0.5622867941856384
46,frame_00046_hard.jpg,0,hard_wrist_visible_ball_missing,0.38639768958091736
47,frame_00047_hard.jpg,0,hard_wrist_visible_ball_missing,0.5672565698623657
48,frame_00048_hard.jpg,0,hard_wrist_visible_ball_missing,0.68995600938797
49,frame_00049_hard.jpg,0,hard_wrist_visible_ball_missing,0.4319717586040497
50,frame_00050_hard.jpg,0,hard_wrist_visible_ball_missing,0.592948317527771
51,frame_00051_hard.jpg,0,hard_wrist_visible_ball_missing,0.5405551195144653
52,frame_00052_pos.jpg,1,positive_ball_detected,0.3496529459953308
53,frame_00053_pos.jpg,1,positive_ball_detected,0.2361801564693451
54,frame_00054_pos.jpg,1,positive_ball_detected,0.5704531073570251
55,frame_00055_pos.jpg,1,positive_ball_detected,0.48739489912986755
56,frame_00056_hard.jpg,0,hard_wrist_visible_ball_missing,0.5005216002464294
57,frame_00057_hard.jpg,0,hard_wrist_visible_ball_missing,0.5724188089370728
58,frame_00058_hard.jpg,0,hard_wrist_visible_ball_missing,0.5463059544563293
59,frame_00059_hard.jpg,0,hard_wrist_visible_ball_missing,0.5315607786178589
60,frame_00060_hard.jpg,0,hard_wrist_visible_ball_missing,0.6344411969184875
61,frame_00061_hard.jpg,0,hard_wrist_visible_ball_missing,0.6892648935317993
62,frame_00062_hard.jpg,0,hard_wrist_visible_ball_missing,0.5489268898963928
63,frame_00063_hard.jpg,0,hard_wrist_visible_ball_missing,0.482205331325531
64,frame_00064_hard.jpg,0,hard_wrist_visible_ball_missing,0.4550725817680359
65,frame_00065_hard.jpg,0,hard_wrist_visible_ball_missing,0.2746030390262604
66,frame_00066_hard.jpg,0,hard_wrist_visible_ball_missing,0.3130659759044647
67,frame_00067_hard.jpg,0,hard_wrist_visible_ball_missing,0.23635607957839966
70,frame_00070_hard.jpg,0,hard_wrist_visible_ball_missing,0.3257448375225067
72,frame_00072_hard.jpg,0,hard_wrist_visible_ball_missing,0.2483711987733841
73,frame_00073_hard.jpg,0,hard_wrist_visible_ball_missing,0.26879143714904785
74,frame_00074_hard.jpg,0,hard_wrist_visible_ball_missing,0.27696001529693604
77,frame_00077_hard.jpg,0,hard_wrist_visible_ball_missing,0.44669610261917114
87,frame_00087_hard.jpg,0,hard_wrist_visible_ball_missing,0.31648287177085876
98,frame_00098_hard.jpg,0,hard_wrist_visible_ball_missing,0.4463801681995392
109,frame_00109_hard.jpg,0,hard_wrist_visible_ball_missing,0.25065505504608154
113,frame_00113_hard.jpg,0,hard_wrist_visible_ball_missing,0.3821510076522827
120,frame_00120_hard.jpg,0,hard_wrist_visible_ball_missing,0.2594710886478424
